Trial,MaleID,MaleMorph,Cw,CwScore,Nw,MaleWeight,MalePL,FemID,FemMorph,Date,CourtStart,MountStart,CMtime,CourtYN,MountYN,DNI
t63,CC54,CwFw,Cw,,Fw,456,4.05,CC61,Cw,17/03/2020,51,56,5,1,1,0
t64,CC55,CwFw,Cw,,Fw,459,3.7,CC64,wt,17/03/2020,,,,0,0,0
t65,CC56,wtNw,wt,0,Nw,,,CC63,Cw,17/03/2020,,,,,,1
t66,CC27,wtFw,wt,0,Fw,,,CC50,Cw,17/03/2020,,,,,,1
t67,CC42,NA,NA,0,NA,501,3.75,CC39,Cw,17/03/2020,,530,,0,1,0
t68,CC57,wtNw,wt,0,Nw,,,CC57,wt,18/03/2020,,,,,,1
t69,CC58,wtNw,wt,0,Nw,459,3.9,CC56,wt,18/03/2020,,,,0,0,0
t70,CC60,wtNw,wt,0,Nw,,,CC58,Cw,18/03/2020,,,,,,1
t71,CC61,wtNw,wt,0,Nw,487,3.9,CC55,wt,18/03/2020,80,169,89,1,1,0
t72,CC62,wtNw,wt,0,Nw,560,3.9,CC54,Cw,18/03/2020,95,115,20,1,1,0
t73,CC42,CwFw,Cw,1,Fw,501,3.75,CC56,wt,18/03/2020,,420,,0,1,0
t74,CC2,CwFw,Cw,,Fw,446,,CC32,wt,18/03/2020,,,,0,0,0
t75,CC3,CwNw,Cw,,Nw,556,,CC14,wt,18/03/2020,360,375,15,1,1,0
t76,CC4,wtFw,wt,0,Fw,,,CC10,Cw,18/03/2020,,,,,,1
t77,CC5,CwNw,Cw,,Nw,388,,CC19,wt,18/03/2020,170,175,5,1,1,0
t78,CC6,wtNw,wt,0,Nw,337,,CC18,wt,18/03/2020,90,170,80,1,1,0
t79,CC7,CwNw,Cw,,Nw,497,,CC23,wt,18/03/2020,,,,0,0,0
t80,CC8,CwNw,Cw,,Nw,422,,CC17,wt,18/03/2020,570,590,20,1,1,0
t81,CC9,CwNw,Cw,,Nw,437,,CC4,Cw,18/03/2020,175,185,10,1,1,0
t82,CC11,wtNw,wt,,Nw,325,,CC27,wt,18/03/2020,105,110,5,1,1,0
t83,CC12,wtFw,wt,,Fw,,,CC27,Cw,18/03/2020,560,,,1,0,0
t84,CC13,CwFw,Cw,,Fw,358,,CC31,Cw,18/03/2020,,,,0,0,0
t85,CC14,CwFw,Cw,,Fw,411,,CC26,wt,18/03/2020,,160,,0,1,0
t86,CC16,CwNw,Cw,,Nw,444,,CC33,wt,19/03/2020,85,330,245,1,1,0
t87,CC17,CwNw,Cw,,Nw,481,,CC33,wt,19/03/2020,134,245,111,1,1,0
t88,CC18,wtNw,wt,,Nw,571,,CC13,wt,19/03/2020,,,,0,0,0
t89,CC20,wtNw,wt,,Nw,420,,CC22,wt,19/03/2020,,210,,0,1,0
t90,CC21,CwFw,Cw,,Fw,,,CC20,,19/03/2020,,,,,,1
t91,CC22,CwNw,Cw,,Nw,424,,CC8,wt,19/03/2020,230,,,1,0,0
t92,CC23,CwNw,Cw,,Nw,412,,CC30,wt,19/03/2020,,,,,,0
t93,CC24,CwNw,Cw,,Nw,408,,CC46,wt,19/03/2020,110,111,1,1,1,0
t94,CC25,wtFw,wt,,Fw,333,,CC45,Cw,19/03/2020,85,86,1,1,1,0
t95,CC60,wtNw,wt,,Nw,459,,CC52,wt,19/03/2020,260,261,1,1,1,0
t96,CC57,wtNw,wt,,Nw,503,,CC58,Cw,19/03/2020,130,134,4,1,1,0
t97,CC21,CwFw,Cw,,Fw,315,,CC10,Cw,19/03/2020,405,,,1,0,0
t98,CC4,wtFw,wt,,Fw,583,,CC20,Cw,19/03/2020,,,,,,1
t99,CC56,wtNw,wt,,Nw,491,,CC57,wt,19/03/2020,,85,93,1,1,0
t100,CC1,CwNw,Cw,,Nw,,,,,19/03/2020,,,,,,1
t101,CC27,wtNw,wt,,Nw,557,,CC50,Cw,20/03/2020,167,170,3,1,1,0
t102,CC63,wtFw,wt,,Fw,303,,CC64,Cw,20/03/2020,450,,,1,0,0
t103,CC64,CwNw,Cw,,Nw,478,,CC65,wt,20/03/2020,375,,,1,0,0
t104,CC65,CwNw,Cw,,Nw,473,,CC66,wt,20/03/2020,,,,0,0,0
t105,CC66,CwNw,Cw,,Nw,507,,CC67,Cw,20/03/2020,144,335,191,1,1,0
t106,CC67,CwNw,Cw,,Nw,,,CC68,wt,20/03/2020,,,,,,1
t107,CC68,CwNw,Cw,,Nw,593,,CC69,Cw,20/03/2020,18,,,1,0,0
t108,CC26,wtNw,wt,,Nw,318,,CC16,wt,22/03/2020,557,600,43,1,1,0
t109,CC31,wtFw,wt,,Fw,486,,CC21,Cw,22/03/2020,387,390,3,1,1,0
t110,CC32,wtNw,wt,,Nw,365,,CC51,Cw,22/03/2020,100,103,3,1,1,0
t111,CC33,wtNw,wt,,Nw,403,,CC35,Cw,22/03/2020,,,,0,0,0
t112,CC34,CwNw,Cw,,Nw,418,,CC1,wt,22/03/2020,100,110,10,1,1,0
t113,CC35,CwFw,Cw,,Fw,427,,CC34,Cw,22/03/2020,103,110,7,1,1,0
t114,CC36,CwNw,Cw,,Nw,389,,CC25,Cw,22/03/2020,,,,0,0,0
t115,CC38,CwFw,Cw,,Fw,420,,CC29,wt,22/03/2020,105,,,1,0,0
t116,CC39,CwNw,Cw,,Nw,451,,CC44,wt,23/03/2020,100,,,1,0,0
t117,CC41,wtNw,wt,,Nw,406,,CC41,wt,23/03/2020,,,,0,0,0
t118,CC43,wtNw,wt,,Nw,515,,CC53,wt,23/03/2020,386,390,4,1,1,0
t119,CC44,wtNw,wt,,Nw,465,,CC43,Cw,23/03/2020,136,190,54,1,1,0
t120,CC45,CwNw,Cw,,Nw,433,,CC42,wt,23/03/2020,,,,1,0,0
t121,CC47,CwNw,Cw,,Nw,326,,CC47,wt,23/03/2020,21,22,1,1,1,0
t122,CC49,CwFw,Cw,,Fw,560,,CC49,Cw,23/03/2020,91,140,49,1,1,0
t123,CC80,wtFw,wt,,Fw,428,,CC80,Cw,23/03/2020,,,,0,0,0
t124,CC81,wtFw,wt,,Fw,633,,CC81,Cw,23/03/2020,20,,,1,0,0
t125,CC82,wtFw,wt,,Fw,427,,CC82,Cw,23/03/2020,165,200,35,1,1,0
t126,CC83,wtFw,wt,,Fw,524,,CC83,Cw,23/03/2020,390,465,75,1,1,0
t127,CC84,CwFw,Cw,,Fw,351,,CC84,Cw,23/03/2020,,,,,,1
t128,CC85,CwNw,Cw,,Nw,450,,CC85,wt,23/03/2020,350,365,15,1,1,0
t129,CC86,CwNw,Cw,,Nw,515,,CC86,wt,23/03/2020,165,,,1,0,0
